Season,ManU,ManC,Diff,Imputated,Min,ManU_Rank,ManC_Rank
21/22,58,93,-35,N,58,6,1
20/21,74,86,-12,N,74,2,1
19/20,66,81,-15,N,66,3,2
18/19,66,98,-32,N,66,6,1
17/18,81,100,-19,N,81,2,1
16/17,69,78,-9,N,69,6,3
15/16,66,66,0,N,66,5,4
14/15,70,79,-9,N,70,4,2
13/14,64,86,-22,N,64,7,1
12/13,89,78,11,N,78,1,2
11/12,89,89,0,N,89,2,1
10/11,80,71,9,N,71,1,3
09/10,85,67,18,N,67,2,5
08/09,90,50,40,N,50,1,10
07/08,87,52,35,N,52,1,9
06/07,89,42,47,N,42,1,14
05/06,83,43,40,N,43,2,15
04/05,77,52,25,N,52,3,8
03/04,75,41,34,N,41,3,16
02/03,83,51,32,N,51,1,9
01/02,77,42,35,Y,42,3,NA
00/01,80,34,46,N,34,1,18
99/00,91,34,57,Y,34,1,NA
98/99,79,35,44,Y,35,1,NA
97/98,77,36,41,Y,36,2,NA
96/97,75,37,38,Y,37,1,NA
95/96,82,38,44,N,38,1,18
94/95,88,49,39,N,49,2,17
93/94,92,45,47,N,45,1,16
92/93,84,57,27,N,57,1,9
91/92,78,70,8,N,70,2,5
90/91,60,62,-2,N,60,6,5
89/90,48,48,0,N,48,13,14
88/89,51,45,6,Y,45,12,#N/A
87/88,81,42,39,Y,42,2,#N/A
86/87,56,39,17,N,39,11,21
85/86,76,45,31,N,45,4,15
84/85,76,45,31,Y,45,4,#N/A
83/84,73,46,27,Y,46,4,#N/A
82/83,70,47,23,N,47,3,20
81/82,78,58,20,N,58,3,10